# English key, Simplified Chinese, Japanese, Korean, Spanish, French, German, Portuguese
Type a draft above, choose languages, then Translate. Up to 1,000 characters. Nothing is sent or inserted automatically.	在上方输入草稿，选择语言后点击翻译。最多 1,000 字符；不会自动发送或填入。	上に下書きを入力し、言語を選んで翻訳してください。最大1,000文字。自動送信・挿入はしません。	위에 초안을 쓰고 언어를 선택한 후 번역하세요. 최대 1,000자이며 자동 전송이나 삽입은 하지 않습니다.	Escribe arriba, elige los idiomas y pulsa Traducir. Máximo 1.000 caracteres. Nada se envía ni inserta automáticamente.	Saisissez le texte, choisissez les langues et traduisez. Maximum 1 000 caractères. Aucun envoi ni insertion automatique.	Oben Text eingeben, Sprachen wählen und übersetzen. Maximal 1.000 Zeichen. Kein automatisches Senden oder Einfügen.	Digite acima, escolha os idiomas e traduza. Até 1.000 caracteres. Nada é enviado ou inserido automaticamente.
Enter text to translate; unsupported control characters are not allowed.	请输入待翻译文本，不支持特殊控制字符。	翻訳する文を入力してください。未対応の制御文字は使えません。	번역할 텍스트를 입력하세요. 지원하지 않는 제어 문자는 사용할 수 없습니다.	Introduce texto; no se admiten caracteres de control.	Saisissez du texte sans caractères de contrôle non pris en charge.	Text ohne nicht unterstützte Steuerzeichen eingeben.	Digite texto sem caracteres de controle não suportados.
Translate up to 1,000 characters at a time; your draft is unchanged.	每次最多翻译 1,000 字符，草稿未改动。	1回1,000文字までです。下書きは変更していません。	한 번에 1,000자까지 번역합니다. 초안은 그대로입니다.	Máximo 1.000 caracteres por vez; el borrador no ha cambiado.	Maximum 1 000 caractères à la fois ; brouillon inchangé.	Maximal 1.000 Zeichen pro Anfrage; Entwurf unverändert.	Máximo de 1.000 caracteres por vez; rascunho inalterado.
The model did not use the target language. Try a model with stronger multilingual support.	模型未使用目标语言，请尝试多语言能力更强的模型。	指定した言語で出力されませんでした。多言語に強いモデルをお試しください。	모델이 대상 언어로 응답하지 않았습니다. 다국어 지원이 더 나은 모델을 사용하세요.	El modelo no usó el idioma elegido. Prueba otro con mejor soporte multilingüe.	Le modèle n’a pas utilisé la langue choisie. Essayez un modèle multilingue plus performant.	Das Modell hat nicht in die Zielsprache übersetzt. Ein stärkeres mehrsprachiges Modell versuchen.	O modelo não usou o idioma escolhido. Tente um modelo com melhor suporte multilíngue.
Translation timed out. Retry explicitly when the model is ready.	翻译超时。模型就绪后可手动重试。	翻訳がタイムアウトしました。モデルの準備後に再試行してください。	번역 시간이 초과되었습니다. 모델 준비 후 다시 시도하세요.	La traducción agotó el tiempo. Reintenta cuando el modelo esté listo.	Délai dépassé. Réessayez quand le modèle sera prêt.	Zeitüberschreitung. Erneut versuchen, sobald das Modell bereit ist.	A tradução excedeu o tempo. Tente novamente quando o modelo estiver pronto.
Cloud access is not authorized. No text was sent.	云端访问未授权，未发送文本。	クラウド利用は未許可です。原文は送信していません。	클라우드 사용이 허가되지 않았습니다. 텍스트를 전송하지 않았습니다.	Acceso a la nube no autorizado. No se envió texto.	Accès cloud non autorisé. Aucun texte envoyé.	Cloud-Zugriff nicht genehmigt. Kein Text gesendet.	Acesso à nuvem não autorizado. Nenhum texto enviado.
Model authorization failed. Check the configured credentials.	模型授权失败，请检查凭据配置。	モデルの認証に失敗しました。認証情報を確認してください。	모델 인증에 실패했습니다. 인증 정보를 확인하세요.	Falló la autorización del modelo. Revisa las credenciales.	Échec d’authentification du modèle. Vérifiez les identifiants.	Modell-Authentifizierung fehlgeschlagen. Zugangsdaten prüfen.	Falha na autorização do modelo. Verifique as credenciais.
Local model or configured service unavailable. Check model settings.	本机模型或已配置服务不可用，请检查模型设置。	ローカルモデルまたはサービスを利用できません。設定を確認してください。	로컬 모델 또는 서비스에 연결할 수 없습니다. 모델 설정을 확인하세요.	Modelo local o servicio no disponible. Revisa los ajustes.	Modèle local ou service indisponible. Vérifiez les réglages.	Lokales Modell oder Dienst nicht verfügbar. Einstellungen prüfen.	Modelo local ou serviço indisponível. Verifique as configurações.
Check the configured model and endpoint.	请检查配置的模型及服务地址。	モデルと接続先の設定を確認してください。	모델과 서비스 주소를 확인하세요.	Revisa el modelo y la dirección del servicio.	Vérifiez le modèle et l’adresse du service.	Modell und Dienstadresse prüfen.	Verifique o modelo e o endereço do serviço.
No complete translation received. Your draft is unchanged.	未收到完整译文，草稿未改动。	完全な翻訳を受信できませんでした。下書きは変更していません。	완전한 번역을 받지 못했습니다. 초안은 그대로입니다.	No se recibió una traducción completa. Borrador sin cambios.	Traduction incomplète. Brouillon inchangé.	Keine vollständige Übersetzung erhalten. Entwurf unverändert.	Nenhuma tradução completa recebida. Rascunho inalterado.
Interface language: {}	界面语言：{}	表示言語：{}	표시 언어: {}	Idioma de interfaz: {}	Langue de l’interface : {}	Oberflächensprache: {}	Idioma da interface: {}
Type here in any input tab; Enter / Esc finishes editing.	各输入页均可在此编辑，回车或 Esc 结束编辑。	どの入力タブでも編集できます。Enter / Esc で終了。	모든 입력 탭에서 편집할 수 있습니다. Enter / Esc로 종료합니다.	Edita desde cualquier pestaña; Enter / Esc termina.	Modifiez depuis tout onglet ; Entrée / Échap termine.	In jedem Eingabetab bearbeitbar; Enter / Esc beendet.	Edite em qualquer aba; Enter / Esc termina.
Click here to type with your keyboard.	点击此处使用键盘输入。	クリックしてキーボードで入力。	클릭하여 키보드로 입력하세요.	Haz clic para escribir con el teclado.	Cliquez pour saisir au clavier.	Hier klicken und mit der Tastatur schreiben.	Clique para digitar com o teclado.
Toggle floating bubble	切换悬浮球	フローティングバブルを切替	플로팅 버블 전환	Alternar burbuja flotante	Basculer la bulle flottante	Schwebende Kugel umschalten	Alternar bolha flutuante
Hide input methods	收起输入工具	入力ツールを折りたたむ	입력 도구 접기	Ocultar herramientas	Masquer les outils	Eingabewerkzeuge einklappen	Ocultar ferramentas
Show input methods	展开输入工具	入力ツールを展開	입력 도구 펼치기	Mostrar herramientas	Afficher les outils	Eingabewerkzeuge ausklappen	Mostrar ferramentas
Virtual keyboard	虚拟键盘	仮想キーボード	가상 키보드	Teclado virtual	Clavier virtuel	Virtuelle Tastatur	Teclado virtual
Translate the current draft	翻译当前草稿	現在の下書きを翻訳	현재 초안 번역	Traducir el borrador	Traduire le brouillon	Aktuellen Entwurf übersetzen	Traduzir o rascunho
automatically detected language	自动识别的语言	自動検出した言語	자동 감지한 언어	idioma detectado	langue détectée	automatisch erkannter Sprache	idioma detectado
Translate from {}	原文语言：{}	原文の言語：{}	원문 언어: {}	Traducir desde: {}	Traduire depuis : {}	Übersetzen aus: {}	Traduzir de: {}
Translate into {}	目标语言：{}	訳文の言語：{}	대상 언어: {}	Traducir a: {}	Traduire vers : {}	Übersetzen nach: {}	Traduzir para: {}
Translate with the configured model; does not commit text	使用已配置模型翻译，不直接发送文本	設定済みモデルで翻訳。入力は確定しません	설정된 모델로 번역하며 텍스트를 확정하지 않습니다	Traducir con el modelo configurado, sin enviar el texto	Traduire avec le modèle configuré, sans valider le texte	Mit konfiguriertem Modell übersetzen, ohne Text zu senden	Traduzir com o modelo configurado, sem enviar o texto
Discard this translation; already-sent requests cannot be recalled	丢弃译文，已发出的请求无法撤回	翻訳を破棄。送信済みのリクエストは取り消せません	번역을 버립니다. 전송된 요청은 회수할 수 없습니다	Descartar traducción; las peticiones enviadas no se pueden retirar	Écarter la traduction ; les requêtes envoyées restent envoyées	Übersetzung verwerfen; gesendete Anfragen sind nicht rückholbar	Descartar tradução; solicitações enviadas não podem ser recuperadas
Replace the editable draft with the full translation; Enter sends it	完整译文填入可编辑草稿，回车才发送	翻訳全文を下書きに反映。Enter で確定	번역 전체를 편집 가능한 초안에 적용합니다. Enter로 전송합니다	Sustituir el borrador por la traducción; Enter envía	Remplacer le brouillon par la traduction ; Entrée envoie	Entwurf durch vollständige Übersetzung ersetzen; Enter sendet	Substituir rascunho pela tradução; Enter envia
Read another page of the full translation	翻看完整译文的其他页面	翻訳の別のページを読む	번역의 다른 페이지 보기	Ver otra página de la traducción	Lire une autre page de la traduction	Andere Seite der Übersetzung lesen	Ler outra página da tradução
Hide panel to system tray	隐藏到系统托盘	トレイに隠す	트레이로 숨기기	Ocultar en la bandeja	Masquer dans la zone de notification	In den Infobereich ausblenden	Ocultar na bandeja
Close settings	关闭设置	設定を閉じる	설정 닫기	Cerrar ajustes	Fermer les réglages	Einstellungen schließen	Fechar configurações
Text size: {}	文字大小：{}	文字サイズ：{}	글자 크기: {}	Tamaño: {}	Taille du texte : {}	Textgröße: {}	Tamanho do texto: {}
Candidate density: {}	候选密度：{}	候補の密度：{}	후보 밀도: {}	Densidad: {}	Densité : {}	Kandidatendichte: {}	Densidade: {}
Preview style: {}	预览样式：{}	プレビュー：{}	미리 보기: {}	Vista previa: {}	Aperçu : {}	Vorschau: {}	Prévia: {}
Text spacing: {}	字间距：{}	文字間隔：{}	자간: {}	Espaciado: {}	Espacement : {}	Zeichenabstand: {}	Espaçamento: {}
Text smoothing: {}	文字平滑：{}	文字の平滑化：{}	글자 부드러움: {}	Suavizado: {}	Lissage : {}	Textglättung: {}	Suavização: {}
Theme: {}	主题：{}	テーマ：{}	테마: {}	Tema: {}	Thème : {}	Design: {}	Tema: {}
Hide the system title bar; Suzaku drag and close controls stay available	隐藏系统标题栏，保留应用的拖动和关闭功能	システムのタイトルバーを隠し、ドラッグと閉じる操作を維持	시스템 제목 표시줄을 숨겨도 이동과 닫기는 사용할 수 있습니다	Ocultar barra del sistema; se mantiene mover y cerrar	Masquer la barre système ; déplacement et fermeture restent disponibles	Systemtitelleiste ausblenden; Verschieben und Schließen bleiben verfügbar	Ocultar barra do sistema; mover e fechar continuam disponíveis
Show the system title bar on the panel and settings	显示面板和设置的系统标题栏	パネルと設定にシステムのタイトルバーを表示	패널과 설정의 시스템 제목 표시줄 표시	Mostrar barra del sistema en panel y ajustes	Afficher la barre système du panneau et des réglages	Systemtitelleiste für Panel und Einstellungen anzeigen	Mostrar barra do sistema no painel e nas configurações
Shrink window scale	缩小窗口	ウィンドウを縮小	창 축소	Reducir ventana	Réduire la fenêtre	Fenster verkleinern	Diminuir janela
Drag to resize window	拖动调整窗口大小	ドラッグしてサイズ変更	드래그하여 크기 조절	Arrastrar para cambiar tamaño	Glisser pour redimensionner	Ziehen zum Ändern der Größe	Arraste para redimensionar
Enlarge window scale	放大窗口	ウィンドウを拡大	창 확대	Ampliar ventana	Agrandir la fenêtre	Fenster vergrößern	Ampliar janela
Reset scale to 100%	恢复 100% 缩放	倍率を100%に戻す	배율을 100%로 복원	Restablecer al 100%	Rétablir à 100 %	Skalierung auf 100 % setzen	Restaurar para 100%
Voice auto insert: on	语音自动填入：开	音声自動挿入：オン	음성 자동 삽입: 켜짐	Inserción de voz: sí	Insertion vocale : activée	Sprache automatisch einfügen: an	Inserção de voz: ativada
Voice auto insert: off	语音自动填入：关	音声自動挿入：オフ	음성 자동 삽입: 꺼짐	Inserción de voz: no	Insertion vocale : désactivée	Sprache automatisch einfügen: aus	Inserção de voz: desativada
LLM suggestions: on	模型联想：开	モデル候補：オン	모델 후보: 켜짐	Sugerencias LLM: sí	Suggestions LLM : activées	LLM-Vorschläge: an	Sugestões LLM: ativadas
LLM suggestions: off	模型联想：关	モデル候補：オフ	모델 후보: 꺼짐	Sugerencias LLM: no	Suggestions LLM : désactivées	LLM-Vorschläge: aus	Sugestões LLM: desativadas
LLM model: {}	模型：{}	モデル：{}	모델: {}	Modelo: {}	Modèle : {}	Modell: {}	Modelo: {}
LLM creativity: {}	生成风格：{}	生成スタイル：{}	생성 스타일: {}	Creatividad: {}	Créativité : {}	Kreativität: {}	Criatividade: {}
Tap slop: {}px	点击移动容差：{}px	タップ移動許容：{}px	탭 이동 허용: {}px	Margen de toque: {}px	Marge du toucher : {}px	Tipptoleranz: {}px	Margem do toque: {}px
Tap timeout: {}ms	点击时限：{}ms	タップ制限：{}ms	탭 제한: {}ms	Tiempo de toque: {}ms	Durée du toucher : {}ms	Tippdauer: {}ms	Tempo do toque: {}ms
Target slop: {}px	热区扩展：{}px	操作範囲の拡張：{}px	터치 영역 여유: {}px	Margen del botón: {}px	Marge de la cible : {}px	Zieltoleranz: {}px	Margem do botão: {}px
{} settings	{}设置	{}の設定	{} 설정	Ajustes de {}	Réglages : {}	{}-Einstellungen	Configurações de {}
Clear settings search	清空设置搜索	設定の検索をクリア	설정 검색 지우기	Borrar búsqueda	Effacer la recherche	Einstellungssuche leeren	Limpar busca
Toggle settings section {}	收起或展开设置分组 {}	設定グループ{}を切り替え	설정 그룹 {} 전환	Alternar sección {}	Basculer la section {}	Einstellungsgruppe {} umschalten	Alternar seção {}
Complete word: {}	补全为：{}	補完：{}	단어 완성: {}	Completar palabra: {}	Compléter le mot : {}	Wort vervollständigen: {}	Completar palavra: {}
Undo last word completion	撤回上次词补全	最後の単語補完を戻す	마지막 단어 완성 취소	Deshacer última palabra	Annuler le dernier mot	Letzte Wortergänzung rückgängig	Desfazer última palavra
Stop listening	停止收音	音声入力を停止	음성 입력 중지	Dejar de escuchar	Arrêter l’écoute	Aufnahme stoppen	Parar de ouvir
Start listening	开始收音	音声入力を開始	음성 입력 시작	Empezar a escuchar	Démarrer l’écoute	Aufnahme starten	Começar a ouvir
Open system voice settings	打开系统语音设置	システム音声設定を開く	시스템 음성 설정 열기	Abrir ajustes de voz	Ouvrir les réglages vocaux	System-Spracheinstellungen öffnen	Abrir configurações de voz
Refresh microphone and speech permissions	刷新麦克风和语音权限	マイクと音声認識の権限を更新	마이크 및 음성 권한 새로 고침	Actualizar permisos de voz	Actualiser les autorisations vocales	Mikrofon- und Sprachrechte aktualisieren	Atualizar permissões de voz
Use next sample transcript	使用下一段示例文本	次の音声サンプルを使用	다음 예시 텍스트 사용	Usar siguiente ejemplo	Utiliser l’exemple suivant	Nächsten Beispieltext verwenden	Usar próximo exemplo
Insert transcript into seed input	将转写文本填入草稿	文字起こしを下書きに挿入	인식한 텍스트를 초안에 삽입	Insertar transcripción	Insérer la transcription	Transkript in den Entwurf einfügen	Inserir transcrição
Clear captured transcript	清空转写文本	文字起こしをクリア	인식한 텍스트 지우기	Borrar transcripción	Effacer la transcription	Transkript leeren	Limpar transcrição
Undo last handwriting stroke	撤销最后一笔	最後の筆画を戻す	마지막 획 취소	Deshacer último trazo	Annuler le dernier trait	Letzten Strich rückgängig	Desfazer último traço
Clear handwriting strokes	清空笔迹	筆跡を消去	손글씨 지우기	Borrar trazos	Effacer les traits	Handschrift löschen	Limpar traços
Backspace	退格	一文字削除	백스페이스	Borrar carácter	Effacer un caractère	Rücktaste	Apagar caractere
Configured service (suzaku_tool model configure)	已配置服务（suzaku_tool model configure）	設定済みサービス（suzaku_tool model configure）	설정된 서비스 (suzaku_tool model configure)	Servicio configurado (suzaku_tool model configure)	Service configuré (suzaku_tool model configure)	Konfigurierter Dienst (suzaku_tool model configure)	Serviço configurado (suzaku_tool model configure)
Updating input method…	正在处理输入法服务 / 切换输入法…	入力方式を更新中…	입력기 업데이트 중…	Actualizando método de entrada…	Mise à jour de la saisie…	Eingabemethode wird aktualisiert…	Atualizando método de entrada…
Suzaku active; candidates appear while typing	Suzaku 已激活，输入时自动显示候选窗	Suzaku が有効です。入力時に候補を表示します	Suzaku 활성화됨; 입력 시 후보 표시	Suzaku activo; candidatos al escribir	Suzaku actif ; candidats pendant la saisie	Suzaku aktiv; Vorschläge beim Tippen	Suzaku ativo; sugestões ao digitar
System-selected; switch back using the system input menu	Suzaku 由系统选中；请通过系统菜单切换回其他输入法	システムにより選択中。システムメニューから切り替えてください	시스템에서 선택됨; 시스템 메뉴에서 전환하세요	Seleccionado por el sistema; cambia desde su menú	Sélectionné par le système ; changez via son menu	Vom System gewählt; über das Systemmenü zurückwechseln	Selecionado pelo sistema; altere no menu do sistema
Current input method: {}	当前输入法：{}	現在の入力方式：{}	현재 입력기: {}	Método actual: {}	Saisie actuelle : {}	Aktuelle Eingabemethode: {}	Método atual: {}
Reading input method status…	正在读取输入法状态…	入力方式の状態を確認中…	입력기 상태 확인 중…	Leyendo estado de entrada…	Lecture de l’état de saisie…	Eingabestatus wird gelesen…	Lendo estado da entrada…
End activation (keep current input method)	结束激活（保留当前输入法）	有効化を終了（現在の入力方式を維持）	활성화 종료 (현재 입력기 유지)	Desactivar (conservar método actual)	Désactiver (garder la saisie actuelle)	Aktivierung beenden (aktuelle Eingabe behalten)	Desativar (manter método atual)
Release and restore: {}	释放并恢复：{}	解除して復元：{}	해제 후 복원: {}	Desactivar y restaurar: {}	Désactiver et rétablir : {}	Deaktivieren und wiederherstellen: {}	Desativar e restaurar: {}
Release and restore previous input method	释放并恢复原输入法	解除して前の入力方式に戻す	해제하고 이전 입력기 복원	Desactivar y restaurar método anterior	Désactiver et rétablir la saisie précédente	Deaktivieren und vorige Eingabemethode wiederherstellen	Desativar e restaurar método anterior
Input service not ready; activation starts it automatically	输入法服务尚未就绪；激活时会自动启动	サービス未準備。有効化時に自動起動します	서비스 준비 안 됨; 활성화 시 자동 시작	Servicio no preparado; se inicia al activar	Service non prêt ; démarrage à l’activation	Dienst nicht bereit; startet bei Aktivierung	Serviço não pronto; inicia ao ativar
